Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, Jamestown Canyon virus disease, Current week","Arboviral diseases, Jamestown Canyon virus disease, Current week, flag","Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†","Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†","Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†, flag","Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†","Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†, flag","Arboviral diseases, La Crosse virus disease, Current week","Arboviral diseases, La Crosse virus disease, Current week, flag","Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†","Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, La Crosse virus disease, Cum 2020†","Arboviral diseases, La Crosse virus disease, Cum 2020†, flag","Arboviral diseases, La Crosse virus disease, Cum 2019†","Arboviral diseases, La Crosse virus disease, Cum 2019†, flag","Arboviral diseases, Powassan virus disease, Current week","Arboviral diseases, Powassan virus disease, Current week, flag","Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†","Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, Powassan virus disease, Cum 2020†","Arboviral diseases, Powassan virus disease, Cum 2020†, flag","Arboviral diseases, Powassan virus disease, Cum 2019†","Arboviral diseases, Powassan virus disease, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,7,,-,4,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,TOTAL,20200770,
US RESIDENTS,2020,7,,-,4,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,3,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,2,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
TOTAL,2020,8,,-,4,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,TOTAL,20200870,
US RESIDENTS,2020,8,,-,4,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,3,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,2,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
TOTAL,2020,9,,-,4,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,TOTAL,20200970,
US RESIDENTS,2020,9,,-,4,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,3,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
